grant_id,plan_id,emp_id,participant_group,grant_type,award_type,grant_date,shares_granted,psu_max_multiplier,psu_share_basis,stock_price_at_grant_usd,strike_price_usd,grant_date_fv_per_share_usd,vest_start_date,vest_months_total,cliff_months,vest_frequency,performance_period_end
G-005643,P-2022,E-0134,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005644,P-2022,E-0137,staff,annual_refresh,rsu,2026-02-15,282,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005645,P-2022,E-0138,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005646,P-2022,E-0139,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005647,P-2022,E-0141,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005648,P-2022,E-0144,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005649,P-2022,E-0145,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005650,P-2022,E-0146,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005651,P-2022,E-0148,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005652,P-2022,E-0149,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005653,P-2022,E-0150,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005654,P-2022,E-0151,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005655,P-2022,E-0152,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005656,P-2022,E-0153,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005657,P-2022,E-0155,staff,annual_refresh,rsu,2026-02-15,1350,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005658,P-2022,E-0156,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005659,P-2022,E-0158,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005660,P-2022,E-0160,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005661,P-2022,E-0161,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005662,P-2022,E-0162,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005663,P-2022,E-0163,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005664,P-2022,E-0164,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005665,P-2022,E-0165,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005666,P-2022,E-0166,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005667,P-2022,E-0167,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005668,P-2022,E-0168,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005669,P-2022,E-0169,section16,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005670,P-2022,E-0170,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005671,P-2022,E-0171,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005672,P-2022,E-0173,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005673,P-2022,E-0175,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005674,P-2022,E-0176,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005675,P-2022,E-0177,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005676,P-2022,E-0178,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005677,P-2022,E-0179,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005678,P-2022,E-0182,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005679,P-2022,E-0185,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005680,P-2022,E-0187,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005681,P-2022,E-0188,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005682,P-2022,E-0189,staff,annual_refresh,rsu,2026-02-15,164,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005683,P-2022,E-0190,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005684,P-2022,E-0191,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005685,P-2022,E-0193,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005686,P-2022,E-0194,management,annual_refresh,rsu,2026-02-15,2700,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005687,P-2022,E-0196,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005688,P-2022,E-0197,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005689,P-2022,E-0198,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005690,P-2022,E-0199,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005691,P-2022,E-0200,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005692,P-2022,E-0201,management,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005693,P-2022,E-0203,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005694,P-2022,E-0204,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005695,P-2022,E-0205,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005696,P-2022,E-0206,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005697,P-2022,E-0207,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005698,P-2022,E-0209,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005699,P-2022,E-0210,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005700,P-2022,E-0211,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005701,P-2022,E-0214,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005702,P-2022,E-0215,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005703,P-2022,E-0216,staff,annual_refresh,rsu,2026-02-15,106,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005704,P-2022,E-0217,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005705,P-2022,E-0218,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005706,P-2022,E-0219,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005707,P-2022,E-0220,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005708,P-2022,E-0221,staff,annual_refresh,rsu,2026-02-15,263,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005709,P-2022,E-0222,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005710,P-2022,E-0223,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005711,P-2022,E-0227,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005712,P-2022,E-0229,staff,annual_refresh,rsu,2026-02-15,323,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005713,P-2022,E-0231,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005714,P-2022,E-0232,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005715,P-2022,E-0233,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005716,P-2022,E-0234,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005717,P-2022,E-0235,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005718,P-2022,E-0236,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005719,P-2022,E-0237,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005720,P-2022,E-0238,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005721,P-2022,E-0239,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005722,P-2022,E-0241,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005723,P-2022,E-0243,section16,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005724,P-2022,E-0245,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005725,P-2022,E-0246,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005726,P-2022,E-0247,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005727,P-2022,E-0248,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005728,P-2022,E-0249,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005729,P-2022,E-0250,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005730,P-2022,E-0251,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005731,P-2022,E-0254,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005732,P-2022,E-0256,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005733,P-2022,E-0259,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005734,P-2022,E-0261,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005735,P-2022,E-0262,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005736,P-2022,E-0263,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
