grant_id,plan_id,emp_id,participant_group,grant_type,award_type,grant_date,shares_granted,psu_max_multiplier,stock_price_at_grant_usd,strike_price_usd,grant_date_fv_per_share_usd,vest_start_date,vest_months_total,cliff_months,vest_frequency,performance_period_end
G-000014,P-2019,E-0022,staff,annual_refresh,rsu,2021-02-15,1785,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000015,P-2019,E-0026,staff,annual_refresh,rsu,2021-02-15,1064,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000016,P-2019,E-0033,staff,annual_refresh,rsu,2021-02-15,1240,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000017,P-2019,E-0034,staff,annual_refresh,rsu,2021-02-15,1149,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000018,P-2019,E-0046,staff,annual_refresh,rsu,2021-02-15,1026,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000019,P-2019,E-0051,staff,annual_refresh,rsu,2021-02-15,2614,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000020,P-2019,E-0057,staff,annual_refresh,rsu,2021-02-15,2328,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000021,P-2019,E-0059,staff,annual_refresh,rsu,2021-02-15,1871,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000022,P-2019,E-0063,staff,annual_refresh,rsu,2021-02-15,1259,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000023,P-2019,E-0073,staff,annual_refresh,rsu,2021-02-15,923,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000024,P-2019,E-0074,staff,annual_refresh,rsu,2021-02-15,1893,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000025,P-2019,E-0076,staff,annual_refresh,rsu,2021-02-15,911,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000027,P-2019,E-0084,management,annual_refresh,rsu,2021-02-15,4038,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000028,P-2019,E-0092,management,annual_refresh,rsu,2021-02-15,8296,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000029,P-2019,E-0097,staff,annual_refresh,rsu,2021-02-15,1959,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000030,P-2019,E-0100,management,annual_refresh,rsu,2021-02-15,3500,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000031,P-2019,E-0102,staff,annual_refresh,rsu,2021-02-15,1649,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000032,P-2019,E-0117,staff,annual_refresh,rsu,2021-02-15,3043,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000033,P-2019,E-0123,staff,annual_refresh,rsu,2021-02-15,3390,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000034,P-2019,E-0126,staff,annual_refresh,rsu,2021-02-15,1055,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000035,P-2019,E-0131,staff,annual_refresh,rsu,2021-02-15,1515,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000036,P-2019,E-0133,staff,annual_refresh,rsu,2021-02-15,1786,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000037,P-2019,E-0134,staff,annual_refresh,rsu,2021-02-15,987,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000038,P-2019,E-0143,staff,annual_refresh,rsu,2021-02-15,1203,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000039,P-2019,E-0144,staff,annual_refresh,rsu,2021-02-15,2857,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000040,P-2019,E-0145,staff,annual_refresh,rsu,2021-02-15,1118,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000041,P-2019,E-0148,management,annual_refresh,rsu,2021-02-15,5003,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000042,P-2019,E-0150,staff,annual_refresh,rsu,2021-02-15,2752,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000043,P-2019,E-0153,staff,annual_refresh,rsu,2021-02-15,2101,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000044,P-2019,E-0158,staff,annual_refresh,rsu,2021-02-15,1110,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000045,P-2019,E-0163,staff,annual_refresh,rsu,2021-02-15,994,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000046,P-2019,E-0170,staff,annual_refresh,rsu,2021-02-15,957,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000047,P-2019,E-0173,staff,annual_refresh,rsu,2021-02-15,2090,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000048,P-2019,E-0188,staff,annual_refresh,rsu,2021-02-15,1129,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000049,P-2019,E-0191,staff,annual_refresh,rsu,2021-02-15,1357,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000050,P-2019,E-0192,staff,annual_refresh,rsu,2021-02-15,2131,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000051,P-2019,E-0193,staff,annual_refresh,rsu,2021-02-15,2113,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000052,P-2019,E-0201,management,annual_refresh,rsu,2021-02-15,4061,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000053,P-2019,E-0205,staff,annual_refresh,rsu,2021-02-15,1335,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000054,P-2019,E-0209,staff,annual_refresh,rsu,2021-02-15,1269,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000055,P-2019,E-0225,staff,annual_refresh,rsu,2021-02-15,1315,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000056,P-2019,E-0229,staff,annual_refresh,rsu,2021-02-15,3255,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000057,P-2019,E-0232,staff,annual_refresh,rsu,2021-02-15,1106,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000058,P-2019,E-0233,staff,annual_refresh,rsu,2021-02-15,986,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000059,P-2019,E-0234,staff,annual_refresh,rsu,2021-02-15,1842,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000060,P-2019,E-0236,staff,annual_refresh,rsu,2021-02-15,3086,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000062,P-2019,E-0245,management,annual_refresh,rsu,2021-02-15,3588,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000063,P-2019,E-0250,staff,annual_refresh,rsu,2021-02-15,2035,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000064,P-2019,E-0253,staff,annual_refresh,rsu,2021-02-15,1719,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000065,P-2019,E-0254,staff,annual_refresh,rsu,2021-02-15,1647,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000066,P-2019,E-0255,staff,annual_refresh,rsu,2021-02-15,920,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000067,P-2019,E-0258,staff,annual_refresh,rsu,2021-02-15,1253,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000068,P-2019,E-0265,staff,annual_refresh,rsu,2021-02-15,3334,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000069,P-2019,E-0272,management,annual_refresh,rsu,2021-02-15,9525,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000070,P-2019,E-0273,staff,annual_refresh,rsu,2021-02-15,1190,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000071,P-2019,E-0288,staff,annual_refresh,rsu,2021-02-15,1896,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000072,P-2019,E-0292,management,annual_refresh,rsu,2021-02-15,8411,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000073,P-2019,E-0293,staff,annual_refresh,rsu,2021-02-15,3061,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000074,P-2019,E-0294,staff,annual_refresh,rsu,2021-02-15,1901,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000075,P-2019,E-0297,staff,annual_refresh,rsu,2021-02-15,1901,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000076,P-2019,E-0307,staff,annual_refresh,rsu,2021-02-15,2886,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000077,P-2019,E-0315,management,annual_refresh,rsu,2021-02-15,9753,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000078,P-2019,E-0316,staff,annual_refresh,rsu,2021-02-15,2060,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000079,P-2019,E-0319,staff,annual_refresh,rsu,2021-02-15,950,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000080,P-2019,E-0322,staff,annual_refresh,rsu,2021-02-15,1007,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000081,P-2019,E-0329,staff,annual_refresh,rsu,2021-02-15,1688,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000082,P-2019,E-0330,management,annual_refresh,rsu,2021-02-15,9013,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000083,P-2019,E-0334,staff,annual_refresh,rsu,2021-02-15,1721,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000084,P-2019,E-0337,staff,annual_refresh,rsu,2021-02-15,1195,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000085,P-2019,E-0338,staff,annual_refresh,rsu,2021-02-15,1356,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000086,P-2019,E-0339,staff,annual_refresh,rsu,2021-02-15,1913,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000088,P-2019,E-0352,staff,annual_refresh,rsu,2021-02-15,988,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000089,P-2019,E-0353,staff,annual_refresh,rsu,2021-02-15,1172,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000090,P-2019,E-0354,staff,annual_refresh,rsu,2021-02-15,1936,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000091,P-2019,E-0362,management,annual_refresh,rsu,2021-02-15,8809,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000092,P-2019,E-0365,staff,annual_refresh,rsu,2021-02-15,1309,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000093,P-2019,E-0367,staff,annual_refresh,rsu,2021-02-15,1301,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000094,P-2019,E-0371,staff,annual_refresh,rsu,2021-02-15,1648,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000095,P-2019,E-0372,staff,annual_refresh,rsu,2021-02-15,975,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000096,P-2019,E-0374,staff,annual_refresh,rsu,2021-02-15,2108,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000097,P-2019,E-0376,section16,exec_annual,rsu,2021-02-15,31263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000098,P-2019,E-0376,section16,exec_annual,psu,2021-02-15,23447,2.0,38.0,,38.0,2021-02-15,36,36,cliff,2024-02-28
G-000099,P-2019,E-0376,section16,exec_annual,option,2021-02-15,50270,1.0,38.0,38.0,17.7243,2021-02-15,48,12,monthly,
G-000100,P-2019,E-0381,staff,annual_refresh,rsu,2021-02-15,1011,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000101,P-2019,E-0383,staff,annual_refresh,rsu,2021-02-15,1214,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000102,P-2019,E-0385,staff,annual_refresh,rsu,2021-02-15,1250,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000103,P-2019,E-0386,staff,annual_refresh,rsu,2021-02-15,1975,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000104,P-2019,E-0387,staff,annual_refresh,rsu,2021-02-15,1858,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000105,P-2019,E-0393,management,annual_refresh,rsu,2021-02-15,3496,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000106,P-2019,E-0394,staff,annual_refresh,rsu,2021-02-15,1780,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000107,P-2019,E-0399,staff,annual_refresh,rsu,2021-02-15,982,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000108,P-2019,E-0407,staff,annual_refresh,rsu,2021-02-15,1243,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000109,P-2019,E-0416,staff,annual_refresh,rsu,2021-02-15,1355,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000110,P-2019,E-0417,management,annual_refresh,rsu,2021-02-15,4163,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000111,P-2019,E-0420,staff,annual_refresh,rsu,2021-02-15,1127,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000112,P-2019,E-0432,staff,annual_refresh,rsu,2021-02-15,1263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000113,P-2019,E-0436,staff,annual_refresh,rsu,2021-02-15,3190,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000114,P-2019,E-0439,staff,annual_refresh,rsu,2021-02-15,1983,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000115,P-2019,E-0443,staff,annual_refresh,rsu,2021-02-15,1045,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000116,P-2019,E-0446,management,annual_refresh,rsu,2021-02-15,4356,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000118,P-2019,E-0455,staff,annual_refresh,rsu,2021-02-15,1167,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000119,P-2019,E-0459,management,annual_refresh,rsu,2021-02-15,4404,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000120,P-2019,E-0460,staff,annual_refresh,rsu,2021-02-15,1077,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000121,P-2019,E-0463,staff,annual_refresh,rsu,2021-02-15,1038,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000122,P-2019,E-0470,staff,annual_refresh,rsu,2021-02-15,919,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000123,P-2019,E-0474,staff,annual_refresh,rsu,2021-02-15,979,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000124,P-2019,E-0476,staff,annual_refresh,rsu,2021-02-15,1696,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000125,P-2019,E-0478,management,annual_refresh,rsu,2021-02-15,4845,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000126,P-2019,E-0482,staff,annual_refresh,rsu,2021-02-15,1914,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000127,P-2019,E-0484,staff,annual_refresh,rsu,2021-02-15,1749,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000128,P-2019,E-0496,staff,annual_refresh,rsu,2021-02-15,958,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000129,P-2019,E-0497,staff,annual_refresh,rsu,2021-02-15,1880,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000130,P-2019,E-0499,staff,annual_refresh,rsu,2021-02-15,1356,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000131,P-2019,E-0501,staff,annual_refresh,rsu,2021-02-15,1229,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000132,P-2019,E-0506,section16,exec_annual,rsu,2021-02-15,31263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000133,P-2019,E-0506,section16,exec_annual,psu,2021-02-15,23447,2.0,38.0,,38.0,2021-02-15,36,36,cliff,2024-02-28
G-000134,P-2019,E-0506,section16,exec_annual,option,2021-02-15,50270,1.0,38.0,38.0,17.7243,2021-02-15,48,12,monthly,
G-000135,P-2019,E-0507,staff,annual_refresh,rsu,2021-02-15,1733,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000136,P-2019,E-0517,staff,annual_refresh,rsu,2021-02-15,1673,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000137,P-2019,E-0521,staff,annual_refresh,rsu,2021-02-15,1211,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000138,P-2019,E-0524,staff,annual_refresh,rsu,2021-02-15,1882,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000139,P-2019,E-0534,staff,annual_refresh,rsu,2021-02-15,1199,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000140,P-2019,E-0535,staff,annual_refresh,rsu,2021-02-15,2346,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000141,P-2019,E-0540,staff,annual_refresh,rsu,2021-02-15,1612,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000142,P-2019,E-0541,staff,annual_refresh,rsu,2021-02-15,2022,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000143,P-2019,E-0553,staff,annual_refresh,rsu,2021-02-15,1066,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000144,P-2019,E-0554,staff,annual_refresh,rsu,2021-02-15,1266,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000145,P-2019,E-0559,management,annual_refresh,rsu,2021-02-15,4113,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000146,P-2019,E-0571,staff,annual_refresh,rsu,2021-02-15,962,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000147,P-2019,E-0573,staff,annual_refresh,rsu,2021-02-15,1559,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000148,P-2019,E-0577,staff,annual_refresh,rsu,2021-02-15,1277,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000149,P-2019,E-0590,staff,annual_refresh,rsu,2021-02-15,1874,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000150,P-2019,E-0591,staff,annual_refresh,rsu,2021-02-15,2081,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000151,P-2019,E-0595,staff,annual_refresh,rsu,2021-02-15,1838,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000152,P-2019,E-0597,staff,annual_refresh,rsu,2021-02-15,1225,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000153,P-2019,E-0602,staff,annual_refresh,rsu,2021-02-15,1601,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000154,P-2019,E-0603,staff,annual_refresh,rsu,2021-02-15,1242,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000155,P-2019,E-0610,management,annual_refresh,rsu,2021-02-15,3789,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000156,P-2019,E-0619,staff,annual_refresh,rsu,2021-02-15,1321,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000157,P-2019,E-0622,staff,annual_refresh,rsu,2021-02-15,1889,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000158,P-2019,E-0624,staff,annual_refresh,rsu,2021-02-15,1909,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000159,P-2019,E-0625,staff,annual_refresh,rsu,2021-02-15,2372,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000160,P-2019,E-0627,staff,annual_refresh,rsu,2021-02-15,3299,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000161,P-2019,E-0628,staff,annual_refresh,rsu,2021-02-15,2957,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000162,P-2019,E-0630,section16,exec_annual,rsu,2021-02-15,31263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000163,P-2019,E-0630,section16,exec_annual,psu,2021-02-15,23447,2.0,38.0,,38.0,2021-02-15,36,36,cliff,2024-02-28
G-000164,P-2019,E-0630,section16,exec_annual,option,2021-02-15,50270,1.0,38.0,38.0,17.7243,2021-02-15,48,12,monthly,
G-000165,P-2019,E-0634,staff,annual_refresh,rsu,2021-02-15,2033,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000166,P-2019,E-0643,staff,annual_refresh,rsu,2021-02-15,1460,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000167,P-2019,E-0646,staff,annual_refresh,rsu,2021-02-15,1245,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000168,P-2019,E-0648,staff,annual_refresh,rsu,2021-02-15,923,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000169,P-2019,E-0649,staff,annual_refresh,rsu,2021-02-15,1251,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000170,P-2019,E-0651,staff,annual_refresh,rsu,2021-02-15,1990,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000171,P-2019,E-0652,staff,annual_refresh,rsu,2021-02-15,973,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000172,P-2019,E-0653,management,annual_refresh,rsu,2021-02-15,7125,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000173,P-2019,E-0655,staff,annual_refresh,rsu,2021-02-15,2644,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000174,P-2019,E-0657,section16,exec_annual,rsu,2021-02-15,31263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000175,P-2019,E-0657,section16,exec_annual,psu,2021-02-15,23447,2.0,38.0,,38.0,2021-02-15,36,36,cliff,2024-02-28
G-000176,P-2019,E-0657,section16,exec_annual,option,2021-02-15,50270,1.0,38.0,38.0,17.7243,2021-02-15,48,12,monthly,
G-000177,P-2019,E-0658,section16,exec_annual,rsu,2021-02-15,31263,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000178,P-2019,E-0658,section16,exec_annual,psu,2021-02-15,23447,2.0,38.0,,38.0,2021-02-15,36,36,cliff,2024-02-28
G-000179,P-2019,E-0658,section16,exec_annual,option,2021-02-15,50270,1.0,38.0,38.0,17.7243,2021-02-15,48,12,monthly,
G-000180,P-2019,E-0663,staff,annual_refresh,rsu,2021-02-15,2535,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000181,P-2019,E-0666,management,annual_refresh,rsu,2021-02-15,3899,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000182,P-2019,E-0667,management,annual_refresh,rsu,2021-02-15,18691,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000183,P-2019,E-0674,staff,annual_refresh,rsu,2021-02-15,1341,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000184,P-2019,E-0675,staff,annual_refresh,rsu,2021-02-15,1240,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000185,P-2019,E-0676,staff,annual_refresh,rsu,2021-02-15,1108,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
